tankaID	サンプルID	書字形出現位置	短歌	subjID	metrics	vaule
0	OV0X_00001	10	XXXXXXXXXXXXXXXXXXXXXXXXXXXX	09	COMMENT	孤独
0	OV0X_00001	10	XXXXXXXXXXXXXXXXXXXXXXXXXXXX	09	GOODorBAD	5
0	OV0X_00001	10	XXXXXXXXXXXXXXXXXXXXXXXXXXXX	09	LIKEorDISLIKE	3
0	OV0X_00001	10	XXXXXXXXXXXXXXXXXXXXXXXXXXXX	09	METAPHORICAL	比喩を含む
0	OV0X_00001	10	XXXXXXXXXXXXXXXXXXXXXXXXXXXX	09	TEMPORAL	時間を表現しない
1	OV0X_00001	290	XXXXXXXXXXXXXXXXXXXXXXXXXXX	18	COMMENT
1	OV0X_00001	290	XXXXXXXXXXXXXXXXXXXXXXXXXXX	18	GOODorBAD	3
1	OV0X_00001	290	XXXXXXXXXXXXXXXXXXXXXXXXXXX	18	LIKEorDISLIKE	3
1	OV0X_00001	290	XXXXXXXXXXXXXXXXXXXXXXXXXXX	18	METAPHORICAL	比喩を含まない
1	OV0X_00001	290	XXXXXXXXXXXXXXXXXXXXXXXXXXX	18	TEMPORAL	時間を表現しない
2	OV0X_00001	560	XXXXXXXXXXXXXXXXXXXXXXXXXXXX	07	COMMENT	怒り
2	OV0X_00001	560	XXXXXXXXXXXXXXXXXXXXXXXXXXXX	07	GOODorBAD	4
2	OV0X_00001	560	XXXXXXXXXXXXXXXXXXXXXXXXXXXX	07	LIKEorDISLIKE	5
2	OV0X_00001	560	XXXXXXXXXXXXXXXXXXXXXXXXXXXX	07	METAPHORICAL	比喩を含まない
2	OV0X_00001	560	XXXXXXXXXXXXXXXXXXXXXXXXXXXX	07	TEMPORAL	時間を表現しない
3	OV0X_00001	840	XXXXXXXXXXXXXXXXXXXXXXXXXXX	18	COMMENT
3	OV0X_00001	840	XXXXXXXXXXXXXXXXXXXXXXXXXXX	18	GOODorBAD	4
3	OV0X_00001	840	XXXXXXXXXXXXXXXXXXXXXXXXXXX	18	LIKEorDISLIKE	3
3	OV0X_00001	840	XXXXXXXXXXXXXXXXXXXXXXXXXXX	18	METAPHORICAL	比喩を含まない
3	OV0X_00001	840	XXXXXXXXXXXXXXXXXXXXXXXXXXX	18	TEMPORAL	時間を表現しない
4	OV0X_00001	1110	XXXXXXXXXXXXXXXXXXXXXXXXX	16	COMMENT	境目
4	OV0X_00001	1110	XXXXXXXXXXXXXXXXXXXXXXXXX	16	GOODorBAD	3
4	OV0X_00001	1110	XXXXXXXXXXXXXXXXXXXXXXXXX	16	LIKEorDISLIKE	2
4	OV0X_00001	1110	XXXXXXXXXXXXXXXXXXXXXXXXX	16	METAPHORICAL	比喩を含まない
